country,year,games_type,iso3,actual_medals,predicted_medals,predicted_proba,error,abs_error
Australia,2022,Winter,AUS,4.0,6.5941877365112305,0.977037,-2.5941877365112305,2.5941877365112305
Austria,2022,Winter,AUT,18.0,12.212968826293945,0.95123345,5.787031173706055,5.787031173706055
Belarus,2022,Winter,BLR,2.0,4.493969917297363,0.73836356,-2.4939699172973633,2.4939699172973633
Belgium,2022,Winter,BEL,2.0,5.141471862792969,0.9500784,-3.1414718627929688,3.1414718627929688
Canada,2022,Winter,CAN,26.0,11.669013023376465,0.98338056,14.330986976623535,14.330986976623535
Czechia,2022,Winter,CZE,2.0,5.47457218170166,0.7391128,-3.47457218170166,3.47457218170166
Estonia,2022,Winter,EST,1.0,5.26171875,0.9155395,-4.26171875,4.26171875
Finland,2022,Winter,FIN,8.0,0.0,0.52878845,8.0,8.0
France,2022,Winter,FRA,14.0,6.751123905181885,0.98766404,7.248876094818115,7.248876094818115
Germany,2022,Winter,DEU,27.0,9.311030387878418,0.976071,17.688969612121582,17.688969612121582
Hungary,2022,Winter,HUN,3.0,5.295244216918945,0.8194429,-2.2952442169189453,2.2952442169189453
Italy,2022,Winter,ITA,17.0,6.380499362945557,0.98058254,10.619500637054443,10.619500637054443
Japan,2022,Winter,JPN,18.0,3.2955987453460693,0.98520213,14.70440125465393,14.70440125465393
Latvia,2022,Winter,LVA,1.0,2.9257638454437256,0.78538156,-1.9257638454437256,1.9257638454437256
Curacao,2022,Winter,NLD,17.0,0.0,0.6096851,17.0,17.0
Netherlands,2022,Winter,NLD,17.0,8.681880950927734,0.9660719,8.318119049072266,8.318119049072266
New Zealand,2022,Winter,NZL,3.0,5.349598407745361,0.74910784,-2.3495984077453613,2.3495984077453613
Norway,2022,Winter,NOR,37.0,6.97479772567749,0.9165175,30.02520227432251,30.02520227432251
China,2022,Winter,CHN,15.0,17.208250045776367,0.9924866,-2.208250045776367,2.208250045776367
Poland,2022,Winter,POL,1.0,7.069955348968506,0.98438686,-6.069955348968506,6.069955348968506
Russian Federation,2022,Winter,RUS,32.0,6.335843563079834,0.9783407,25.664156436920166,25.664156436920166
"Korea, Dem. People's Rep.",2022,Winter,PRK,9.0,5.240081787109375,0.8888627,3.759918212890625,3.759918212890625
Slovak Republic,2022,Winter,SVK,2.0,5.216174602508545,0.78599757,-3.216174602508545,3.216174602508545
Slovenia,2022,Winter,SVN,7.0,0.0,0.2221807,7.0,7.0
Spain,2022,Winter,ESP,1.0,6.5451555252075195,0.97226363,-5.5451555252075195,5.5451555252075195
Sweden,2022,Winter,SWE,18.0,3.979698419570923,0.9020129,14.020301580429077,14.020301580429077
Switzerland,2022,Winter,CHE,15.0,5.264808177947998,0.9394054,9.735191822052002,9.735191822052002
Ukraine,2022,Winter,UKR,1.0,0.0,0.5866829,1.0,1.0
United Kingdom,2022,Winter,GBR,2.0,9.737020492553711,0.9871579,-7.737020492553711,7.737020492553711
United States,2022,Winter,USA,25.0,21.75828742980957,0.99104685,3.2417125701904297,3.2417125701904297
Argentina,2022,Winter,ARG,0.0,5.162415504455566,0.9279722,-5.162415504455566,5.162415504455566
Armenia,2022,Winter,ARM,0.0,0.0,0.09464111,0.0,0.0
Azerbaijan,2022,Winter,AZE,0.0,3.575629234313965,0.7725279,-3.575629234313965,3.575629234313965
,2022,Winter,BHS,0.0,0.0,0.026518386,0.0,0.0
Bahrain,2022,Winter,BHR,0.0,0.0,0.025595868,0.0,0.0
Bermuda,2022,Winter,BMU,0.0,0.0,0.0254295,0.0,0.0
Botswana,2022,Winter,BWA,0.0,0.0,0.2833257,0.0,0.0
Brazil,2022,Winter,BRA,0.0,0.0,0.5666752,0.0,0.0
Bulgaria,2022,Winter,BGR,0.0,0.0,0.62908167,0.0,0.0
Burkina Faso,2022,Winter,BFA,0.0,0.0,0.008040669,0.0,0.0
,2022,Winter,TWN,0.0,0.0,0.026518386,0.0,0.0
Colombia,2022,Winter,COL,0.0,0.0,0.20755574,0.0,0.0
Croatia,2022,Winter,HRV,0.0,0.0,0.5740813,0.0,0.0
Cuba,2022,Winter,CUB,0.0,0.0,0.19564943,0.0,0.0
Cote d'Ivoire,2022,Winter,CIV,0.0,0.0,0.060851924,0.0,0.0
Denmark,2022,Winter,DNK,0.0,17.96763801574707,0.8928064,-17.96763801574707,17.96763801574707
Dominican Republic,2022,Winter,DOM,0.0,0.0,0.022946244,0.0,0.0
Ecuador,2022,Winter,ECU,0.0,0.0,0.039061014,0.0,0.0
"Egypt, Arab Rep.",2022,Winter,EGY,0.0,0.0,0.2626908,0.0,0.0
Ethiopia,2022,Winter,ETH,0.0,0.0,0.00960321,0.0,0.0
Fiji,2022,Winter,FJI,0.0,0.0,0.03174021,0.0,0.0
Georgia,2022,Winter,GEO,0.0,0.0,0.13169694,0.0,0.0
Ghana,2022,Winter,GHA,0.0,0.0,0.14262038,0.0,0.0
Greece,2022,Winter,GRC,0.0,0.0,0.35805076,0.0,0.0
Grenada,2022,Winter,GRD,0.0,0.0,0.41332057,0.0,0.0
"Hong Kong SAR, China",2022,Winter,HKG,0.0,7.4117937088012695,0.9277087,-7.4117937088012695,7.4117937088012695
India,2022,Winter,IND,0.0,0.0,0.39536837,0.0,0.0
Indonesia,2022,Winter,IDN,0.0,6.370564937591553,0.9766003,-6.370564937591553,6.370564937591553
Ireland,2022,Winter,IRL,0.0,6.678185939788818,0.9144161,-6.678185939788818,6.678185939788818
"Iran, Islamic Rep.",2022,Winter,IRN,0.0,9.11501693725586,0.9514272,-9.11501693725586,9.11501693725586
Israel,2022,Winter,ISR,0.0,4.933816432952881,0.9319104,-4.933816432952881,4.933816432952881
Jamaica,2022,Winter,JAM,0.0,0.0,0.204825,0.0,0.0
Jordan,2022,Winter,JOR,0.0,0.0,0.5644396,0.0,0.0
Kazakhstan,2022,Winter,KAZ,0.0,3.9018774032592773,0.80917805,-3.9018774032592773,3.9018774032592773
Kenya,2022,Winter,KEN,0.0,0.0,0.49059796,0.0,0.0
Kosovo,2022,Winter,SRB,0.0,0.0,0.17022602,0.0,0.0
Serbia,2022,Winter,SRB,0.0,0.0,0.031958073,0.0,0.0
Kuwait,2022,Winter,KWT,0.0,0.0,0.5518287,0.0,0.0
Kyrgyz Republic,2022,Winter,KGZ,0.0,0.0,0.53613883,0.0,0.0
Lithuania,2022,Winter,LTU,0.0,5.68278694152832,0.7839805,-5.68278694152832,5.68278694152832
Malaysia,2022,Winter,MYS,0.0,0.0,0.15578221,0.0,0.0
Mexico,2022,Winter,MEX,0.0,2.3776192665100098,0.75212336,-2.3776192665100098,2.3776192665100098
Moldova,2022,Winter,MDA,0.0,0.0,0.019433068,0.0,0.0
Mongolia,2022,Winter,MNG,0.0,0.0,0.031952802,0.0,0.0
Morocco,2022,Winter,MAR,0.0,0.0,0.52015984,0.0,0.0
Namibia,2022,Winter,NAM,0.0,0.0,0.067154795,0.0,0.0
Niger,2022,Winter,NGA,0.0,0.0,0.0052666045,0.0,0.0
Nigeria,2022,Winter,NGA,0.0,0.0,0.04183662,0.0,0.0
North Macedonia,2022,Winter,MKD,0.0,0.0,0.10417783,0.0,0.0
Philippines,2022,Winter,PHL,0.0,5.523740768432617,0.96267176,-5.523740768432617,5.523740768432617
Portugal,2022,Winter,PRT,0.0,0.0,0.5235876,0.0,0.0
,2022,Winter,PRI,0.0,0.0,0.026518386,0.0,0.0
Qatar,2022,Winter,QAT,0.0,0.0,0.092752926,0.0,0.0
Romania,2022,Winter,ROU,0.0,4.4969000816345215,0.93369406,-4.4969000816345215,4.4969000816345215
San Marino,2022,Winter,SMR,0.0,0.0,0.0072027603,0.0,0.0
Saudi Arabia,2022,Winter,SAU,0.0,8.75564956665039,0.9911141,-8.75564956665039,8.75564956665039
South Africa,2022,Winter,ZAF,0.0,0.0,0.5766096,0.0,0.0
Syrian Arab Republic,2022,Winter,SYR,0.0,0.0,0.67297715,0.0,0.0
Thailand,2022,Winter,THA,0.0,0.0,0.07503702,0.0,0.0
