iso3,year,games_type,gold,silver,bronze,total_medals,has_medal,country,population,gdp_current_usd,gdp_per_capita,life_expectancy,adult_literacy_rate,unemployment_rate
AUS,2022,Winter,1.0,2.0,1.0,4.0,1,Australia,26014399.0,1690858246994.43,64997.0136536475,83.2,,3.728
AUT,2022,Winter,7.0,7.0,4.0,18.0,1,Austria,9041851.0,471773629830.381,52176.6649141178,81.2951219512195,,4.992
BLR,2022,Winter,0.0,2.0,0.0,2.0,1,Belarus,9228071.0,73775179924.603,7994.64806074889,74.1033658536585,,3.574
BEL,2022,Winter,1.0,0.0,1.0,2.0,1,Belgium,11680210.0,593614574325.878,50822.2518538518,81.7487804878049,,5.57
CAN,2022,Winter,4.0,8.0,14.0,26.0,1,Canada,38935934.0,2190411080134.32,56256.8007264015,81.2453658536585,,5.279
CZE,2022,Winter,1.0,0.0,1.0,2.0,1,Czechia,10672118.0,301831228325.556,28282.2236715857,78.9292682926829,,2.224
EST,2022,Winter,0.0,0.0,1.0,1.0,1,Estonia,1348840.0,38376046174.971,28451.1477825175,77.8439024390244,,5.571
FIN,2022,Winter,2.0,2.0,4.0,8.0,1,Finland,5556106.0,280253099309.34,50440.560224974,81.1878048780488,,6.719
FRA,2022,Winter,5.0,7.0,2.0,14.0,1,France,68065015.0,2796302210398.84,41082.8119320747,82.1292682926829,,7.308
DEU,2022,Winter,12.0,10.0,5.0,27.0,1,Germany,83797985.0,4163596357879.39,49686.1154582583,80.6080487804878,,3.12
HUN,2022,Winter,1.0,0.0,2.0,3.0,1,Hungary,9605074.0,177536698164.902,18483.6366867035,75.8682926829268,,3.609
ITA,2022,Winter,2.0,7.0,8.0,17.0,1,Italy,59013667.0,2104067630319.46,35653.9042103495,82.7,,8.069
JPN,2022,Winter,3.0,6.0,9.0,18.0,1,Japan,125124989.0,4262463317796.53,34065.6438962526,83.9963414634146,,2.6
LVA,2022,Winter,0.0,0.0,1.0,1.0,1,Latvia,1879383.0,38014713595.7686,20227.2307431581,74.2780487804878,,6.815
NLD,2022,Winter,8.0,5.0,4.0,17.0,1,Curacao,149996.0,3075180834.72417,20501.7522782219,76.729,,
NLD,2022,Winter,8.0,5.0,4.0,17.0,1,Netherlands,17700982.0,1046540797548.64,59123.318556487,81.6146341463415,,3.526
NZL,2022,Winter,2.0,1.0,0.0,3.0,1,New Zealand,5117100.0,249509991440.438,48760.0381935936,81.9585365853658,,3.297
NOR,2022,Winter,16.0,8.0,13.0,37.0,1,Norway,5457127.0,596297651035.798,109269.520580298,82.509756097561,,3.231
CHN,2022,Winter,9.0,4.0,2.0,15.0,1,China,1412175000.0,18316765021690.2,12970.6056414327,78.202,,4.98
POL,2022,Winter,0.0,0.0,1.0,1.0,1,Poland,36821749.0,695607522884.822,18891.213529396,77.1560975609756,,2.811
RUS,2022,Winter,6.0,12.0,14.0,32.0,1,Russian Federation,144236933.0,2291612121334.64,15619.6142578125,72.5456097560976,,3.867
PRK,2022,Winter,2.0,5.0,2.0,9.0,1,"Korea, Dem. People's Rep.",26328845.0,,,73.641,,2.805
SVK,2022,Winter,1.0,0.0,1.0,2.0,1,Slovak Republic,5431752.0,115884262197.697,21334.6011006572,76.9658536585366,,6.143
SVN,2022,Winter,2.0,3.0,2.0,7.0,1,Slovenia,2112076.0,59927702746.2843,28373.8382265999,81.2829268292683,,4.011
ESP,2022,Winter,0.0,1.0,0.0,1.0,1,Spain,47786102.0,1446498147749.03,30270.2687017458,83.1341463414634,,12.917
SWE,2022,Winter,8.0,5.0,5.0,18.0,1,Sweden,10486941.0,579895717343.956,55296.9371472535,83.0585365853659,,7.392
CHE,2022,Winter,7.0,2.0,6.0,15.0,1,Switzerland,8777088.0,828508926958.393,94394.5106803525,83.6048780487805,,4.122
UKR,2022,Winter,0.0,1.0,0.0,1.0,1,Ukraine,41048766.0,161989520721.19,4199.6708984375,72.658,,
GBR,2022,Winter,1.0,1.0,0.0,2.0,1,United Kingdom,67604000.0,3114042471144.39,46062.9914079698,81.0112195121951,,3.73
USA,2022,Winter,8.0,10.0,7.0,25.0,1,United States,334017321.0,26006893000000.0,77860.9112908848,77.4341463414634,,3.65
ARG,2022,Winter,0.0,0.0,0.0,0.0,0,Argentina,45407904.0,632790070063.124,13935.6811110049,75.806,,6.805
ARM,2022,Winter,0.0,0.0,0.0,0.0,0,Armenia,2969200.0,19513506553.1251,6571.97445545099,74.7658536585366,99.8199996948242,13.379
AZE,2022,Winter,0.0,0.0,0.0,0.0,0,Azerbaijan,10141756.0,78807470588.2353,7770.594223351,74.125,,5.65
BHS,2022,Winter,0.0,0.0,0.0,0.0,0,,,,,,,
BHR,2022,Winter,0.0,0.0,0.0,0.0,0,Bahrain,1524693.0,46458191489.3617,30470.5219276023,80.992,97.870002746582,1.326
BMU,2022,Winter,0.0,0.0,0.0,0.0,0,Bermuda,64749.0,7874381000.0,121613.939983629,82.062,,
BWA,2022,Winter,0.0,0.0,0.0,0.0,0,Botswana,2439892.0,20321150598.0672,8328.70905682185,68.749,,23.615
BRA,2022,Winter,0.0,0.0,0.0,0.0,0,Brazil,210306415.0,1951923942083.32,9281.33334441234,74.872,94.3853874531348,9.231
BGR,2022,Winter,0.0,0.0,0.0,0.0,0,Bulgaria,6465097.0,90509236929.2237,13999.6719197289,74.1609756097561,,4.268
BFA,2022,Winter,0.0,0.0,0.0,0.0,0,Burkina Faso,22509038.0,18820218690.5948,836.118304593682,60.7,40.9199981689453,5.389
TWN,2022,Winter,0.0,0.0,0.0,0.0,0,,,,,,,
COL,2022,Winter,0.0,0.0,0.0,0.0,0,Colombia,51737944.0,345632492851.448,6680.44506854481,76.508,95.3138834471897,10.547
HRV,2022,Winter,0.0,0.0,0.0,0.0,0,Croatia,3855641.0,71198635101.9514,18466.0955472648,77.5756097560976,,6.96
CUB,2022,Winter,0.0,0.0,0.0,0.0,0,Cuba,11059820.0,,,77.629,,1.82
CIV,2022,Winter,0.0,0.0,0.0,0.0,0,Cote d'Ivoire,30395002.0,70922824824.0069,2333.37128334477,61.562,,2.306
DNK,2022,Winter,0.0,0.0,0.0,0.0,0,Denmark,5903037.0,401945576107.963,68091.3191138669,81.3048780487805,,4.434
DOM,2022,Winter,0.0,0.0,0.0,0.0,0,Dominican Republic,11230734.0,113478087134.8,10104.2449349081,74.211,93.7022375646963,5.504
ECU,2022,Winter,0.0,0.0,0.0,0.0,0,Ecuador,17823897.0,116133121000.0,6515.58528418336,76.577,96.2600021362305,3.761
EGY,2022,Winter,0.0,0.0,0.0,0.0,0,"Egypt, Arab Rep.",112618250.0,476747720364.742,4233.30783744856,71.01,79.4565788949049,7.344
ETH,2022,Winter,0.0,0.0,0.0,0.0,0,Ethiopia,125384287.0,126772707851.339,1011.07332413462,66.897,60.4599990844727,3.409
FJI,2022,Winter,0.0,0.0,0.0,0.0,0,Fiji,919422.0,4969503549.32096,5405.03006162671,67.148,,4.446
GEO,2022,Winter,0.0,0.0,0.0,0.0,0,Georgia,3712502.0,24984568959.605,6729.84659930283,74.141,99.5699996948242,11.647
GHA,2022,Winter,0.0,0.0,0.0,0.0,0,Ghana,33149152.0,73919003209.9866,2229.89122647803,65.246,,3.084
GRC,2022,Winter,0.0,0.0,0.0,0.0,0,Greece,10436882.0,218880566444.349,20971.8349258283,80.7878048780488,,12.426
